clean_name,name,clalit,maccabi,meuhedet,leumit
ג'קי סיגל,ג'קי סיגל,0,1,0,0
ג'רי כהן," ד""ר ג'רי כהן",0,0,0,0
ג'ריס בלוט,ג'ריס בלוט,0,0,0,1
ג'ריס חכים,ג'ריס חכים,0,0,0,0
ג'רמי בן-שושן,"ד""ר ג'רמי בן-שושן",0,0,0,0
ג'רמי מולד,"ד""ר ג'רמי מולד",0,0,0,0
ג'רמי נידם,"ד""ר ג'רמי נידם",0,0,0,0
ג'רר קורשייא,ג'רר קורשייא,0,1,1,0
גאיה פינקל,גאיה פינקל,0,0,0,0
גאלב לדאוי,גאלב לדאוי,0,0,0,1
גב' אביבה אלישע,גב' אביבה אלישע,1,0,0,0
גב' אביגיל בן צור,גב' אביגיל בן צור,1,0,0,0
גב' אורה לבנטל,גב' אורה לבנטל,1,0,0,0
גב' אורלי חן-פלדמן,גב' אורלי חן-פלדמן,1,0,0,0
גב' אורנה ארז,גב' אורנה ארז,1,0,0,0
גב' אורנה יחזקאל,גב' אורנה יחזקאל,1,0,0,0
גב' איטה בורשטיין,גב' איטה בורשטיין,1,0,0,0
גב' אינה גרינשפון,גב' אינה גרינשפון,1,0,0,0
גב' אסתר אבזוב,גב' אסתר אבזוב,1,0,0,0
גב' אסתר קפלאוי,גב' אסתר קפלאוי,1,0,0,0
גב' אפרת אריאל,גב' אפרת אריאל,1,0,0,0
גב' אריאלה בלום,גב' אריאלה בלום,1,0,0,0
גב' ג'ו ויסטריך(טרנר),גב' ג'ו ויסטריך(טרנר),1,0,0,0
גב' גוני מירון,גב' גוני מירון,1,0,0,0
גב' דיאנה מחיקובסקי מיצ'אן,גב' דיאנה מחיקובסקי מיצ'אן,1,0,0,0
גב' דניאלה הוכמן,גב' דניאלה הוכמן,1,0,0,0
גב' ז'אנה אלתר,גב' ז'אנה אלתר,1,0,0,0
גב' טלי ברזילי,גב' טלי ברזילי,1,0,0,0
גב' יוליה גמרמן,גב' יוליה גמרמן,1,0,0,0
גב' יעל ארבל,גב' יעל ארבל,1,0,0,0
גב' יעל בבס,גב' יעל בבס,1,0,0,0
גב' יעל דיעי,גב' יעל דיעי,1,0,0,0
גב' יעל פרנס,גב' יעל פרנס,1,0,0,0
גב' יפעת קאסנר,גב' יפעת קאסנר,1,0,0,0
גב' לאורה רוזנבאום,גב' לאורה רוזנבאום,1,0,0,0
גב' לוזית חדד,גב' לוזית חדד,1,0,0,0
גב' ליודמילה צ'רניאקוב,גב' ליודמילה צ'רניאקוב,1,0,0,0
גב' מורן עשת,גב' מורן עשת,1,0,0,0
גב' מיכל ננקנסקי,גב' מיכל ננקנסקי,1,0,0,0
גב' מרים זכריה,גב' מרים זכריה,1,0,0,0
גב' מרים שחטר,גב' מרים שחטר,1,0,0,0
גב' מרינה אודסקי,גב' מרינה אודסקי,1,0,0,0
גב' מרצילה שני,גב' מרצילה שני,1,0,0,0
גב' נעה ורשבסקי,גב' נעה ורשבסקי,1,0,0,0
גב' נעמה גבריאל,גב' נעמה גבריאל,1,0,0,0
גב' סיגל חובן,גב' סיגל חובן,1,0,0,0
גב' סילביה סגל,גב' סילביה סגל,1,0,0,0
גב' סימונה פלד,גב' סימונה פלד,1,0,0,0
גב' סמדר מוטרו,גב' סמדר מוטרו,1,0,0,0
גב' עדנה יונקר,גב' עדנה יונקר,1,0,0,0
גב' עידית אלרוב,גב' עידית אלרוב,1,0,0,0
גב' עינב כלב,גב' עינב כלב,1,0,0,0
גב' עינת למפרט,גב' עינת למפרט,1,0,0,0
גב' עינת שחר,גב' עינת שחר,1,0,0,0
גב' ענת בר,גב' ענת בר,1,0,0,0
גב' ענת ווינר,גב' ענת ווינר,1,0,0,0
גב' ערוה מראענה,גב' ערוה מראענה,1,0,0,0
גב' פולה מזיו,גב' פולה מזיו,1,0,0,0
גב' פולינה מולכו,גב' פולינה מולכו,1,0,0,0
גב' פרלה ישראלסון,גב' פרלה ישראלסון,1,0,0,0
גב' רוזליה שוורצמן,גב' רוזליה שוורצמן,1,0,0,0
גב' רויטל סימון,גב' רויטל סימון,1,0,0,0
גב' רות זילברשטיין,גב' רות זילברשטיין,1,0,0,0
גב' רות-פאול שמיר,גב' רות-פאול שמיר,1,0,0,0
גב' רחל לזר - אייל,גב' רחל לזר - אייל,1,0,0,0
גב' רעות ריין,גב' רעות ריין,1,0,0,0
גב' רפאלה סגל,גב' רפאלה סגל,1,1,1,1
גב' שימרית מליחי,גב' שימרית מליחי,1,0,0,0
גב' שירלי יהלום כהן,גב' שירלי יהלום כהן,1,0,0,0
גב' שלומית אייל,גב' שלומית אייל,1,0,0,0
גב' שרון בלוק,גב' שרון בלוק,1,0,0,0
גב' שרית שוחט,גב' שרית שוחט,1,0,0,0
גבי בלום,גבי בלום,0,1,0,0
גבי הרן,"ד""ר גבי הרן",0,1,0,0
גבי שמש,"ד""ר גבי שמש",1,0,1,0
גבע ברזילי,גבע ברזילי,1,0,0,0
גבע לנדאו,"ד""ר גבע לנדאו",0,0,0,0
גבריאל גוטמן,"ד""ר גבריאל גוטמן",0,0,1,0
גבריאל גילון,גבריאל גילון,1,0,0,0
גבריאל גל,"ד""ר גבריאל גל",0,0,0,0
גבריאל כץ,גבריאל כץ,0,0,0,0
גבריאל כרמון,גבריאל כרמון,1,0,1,0
גבריאל ליכטנשטיין,"ד""ר גבריאל ליכטנשטיין",0,0,0,0
גבריאל מרשק,גבריאל מרשק,0,0,1,0
גבריאל נירנברג,גבריאל נירנברג,1,0,1,0
גבריאל סמל,"ד""ר גבריאל סמל",0,0,0,0
גבריאל פרג'י,גבריאל פרג'י,0,0,1,1
גבריאלה פולק,גבריאלה פולק,1,0,0,0
גברת אלה מיכאלי,גברת אלה מיכאלי,0,0,0,0
גברת אלכס מוריין קמינסקי,גברת אלכס מוריין קמינסקי,0,0,1,0
גברת אמה לסרי,גברת אמה לסרי,0,0,0,0
גברת אן לור קלפון,גברת אן לור קלפון,0,0,0,0
גברת גילי קנולר,גברת גילי קנולר,0,0,0,0
גברת דניה קפקא,גברת דניה קפקא,0,0,0,0
גברת יהודית בסורי,גברת יהודית בסורי,0,0,0,0
גברת יעל ג'קסון,גברת יעל ג'קסון,1,0,1,0
גברת ליאור אבידן,גברת ליאור אבידן,0,0,0,0
גברת מור קרנר,גברת מור קרנר,0,0,0,0
גברת מעיין ברסלר,גברת מעיין ברסלר,0,0,0,0
גברת עטרה סגדי,גברת עטרה סגדי,1,0,1,1
גברת רותם מאייר,גברת רותם מאייר,0,0,1,0
גברת שירלי אקרמן,גברת שירלי אקרמן,0,0,0,0
גברת שלי עובדיה,גברת שלי עובדיה,0,0,0,0
גברת שרון ישראלי,גברת שרון ישראלי,1,0,1,0
גד דותן,גד דותן,0,1,0,0
גד ולן,"ד""ר גד ולן",1,1,0,1
גד לוטן,"ד""ר גד לוטן",0,1,1,1
גד מרום,"ד""ר גד מרום",1,1,1,1
גד נוימן,"ד""ר גד נוימן",1,0,0,0
גד פישמן,גד פישמן,0,1,0,0
גדי אלגר,גדי אלגר,0,0,0,0
גדי אלון,"ד""ר גדי אלון",0,0,0,0
גדי בן שטרית,"ד""ר גדי בן שטרית",0,1,0,0
גדי חיים כהן,גדי חיים כהן,0,0,0,1
גדי נוימן,גדי נוימן,1,0,1,1
גדי צוינגל,"ד""ר גדי צוינגל",0,0,0,0
גדי שלומאי,"ד""ר גדי שלומאי",0,0,0,0
גדי שניידר,"ד""ר גדי שניידר",0,0,0,0
גדיר אסעד-אליאס,גדיר אסעד-אליאס,0,1,0,0
גדעון בורשטין,"ד""ר גדעון בורשטין",0,0,0,0
גדעון ביאליסטוק,גדעון ביאליסטוק,1,0,0,0
גדעון גינוסר,גדעון גינוסר,0,1,0,0
גדעון גרניט,גדעון גרניט,1,1,1,0
גדעון סרוקה,"ד""ר גדעון סרוקה",0,0,0,0
גדעון פול,"ד""ר גדעון פול",0,0,0,0
גדעון שטרן,גדעון שטרן,0,1,0,0
גוברין,"ד""ר גוברין",0,0,0,0
גוייצקי מיכאל,גוייצקי מיכאל,1,0,0,0
גולדה גרינבלט,"ד""ר גולדה גרינבלט",0,0,0,0
גוליאן אנקווה,גוליאן אנקווה,0,0,0,0
גונן חבה,גונן חבה,0,0,0,1
גונן סיבוני,"ד""ר גונן סיבוני",0,0,0,0
גוסטבו גולדנברג,גוסטבו גולדנברג,0,0,0,0
גור בן יהודה,"ד""ר גור בן יהודה",0,1,0,0
גיא אלמוג,"ד""ר גיא אלמוג",0,0,0,0
גיא ביבי,"ד""ר גיא ביבי",1,0,0,0
גיא בר משה,"ד""ר גיא בר משה",0,0,0,0
גיא גוטמן,"ד""ר גיא גוטמן",0,0,0,0
גיא הס,גיא הס,0,0,0,0
גיא לוי,"ד""ר גיא לוי",0,0,0,0
גיא מעוז,"ד""ר גיא מעוז",0,1,1,0
גיא מרסיאנו,"ד""ר גיא מרסיאנו",1,1,0,0
גיא נחמני,"ד""ר גיא נחמני",0,0,0,0
גיא סיאני,"ד""ר גיא סיאני",0,0,0,0
גיא פוגל,גיא פוגל,1,1,1,1
גיא פייגין,"ד""ר גיא פייגין",1,1,0,0
גיא פלדמן,"ד""ר גיא פלדמן",0,0,0,0
גיא פרידמן,"ד""ר גיא פרידמן",0,0,0,0
גיא פררו,"ד""ר גיא פררו",0,0,0,0
גיא קארו - סיגל,גיא קארו - סיגל,0,0,0,0
גיא רסנר,"ד""ר גיא רסנר",0,0,0,0
גיא שטויר,גיא שטויר,0,0,0,0
גיא שינמן,גיא שינמן,1,0,0,0
גיא שלום," ד""ר גיא שלום",0,0,0,0
גיא שרים,"ד""ר גיא שרים",0,0,1,0
גיא תם,"ד""ר גיא תם",0,1,1,0
גידו ויסינגר,גידו ויסינגר,1,0,0,0
גידי פייט,"ד""ר גידי פייט",0,0,0,0
גיורא הרלינג,גיורא הרלינג,0,1,0,0
גיורא וייזר,גיורא וייזר,0,1,0,0
גיזלה קון,גיזלה קון,1,0,0,0
גיטה בר - חיאט,גיטה בר - חיאט,1,0,0,0
גיל אלמוג,גיל אלמוג,0,0,1,0
גיל באר,"ד""ר גיל באר",0,0,0,0
גיל בן יעקב,"ד""ר גיל בן יעקב",0,0,0,0
גיל גנוט,"ד""ר גיל גנוט",1,1,0,0
גיל גנות,"ד""ר גיל גנות",1,0,0,0
גיל הרצברג,גיל הרצברג,0,0,0,0
גיל טאובר,גיל טאובר,0,1,0,0
גיל ירושלמי,"ד""ר גיל ירושלמי",1,0,0,0
גיל לאופר,"ד""ר גיל לאופר",0,0,0,0
גיל לאנה,גיל לאנה,0,0,0,0
גיל להב,"ד""ר גיל להב",0,0,0,1
גיל סלוצקי,"ד""ר גיל סלוצקי",0,0,0,0
גיל פומפ,"ד""ר גיל פומפ",0,0,0,0
גיל פיכמן," ד""ר גיל פיכמן",0,1,0,0
גיל פרץ,"ד""ר גיל פרץ",0,1,1,0
גיל קלינגר,גיל קלינגר,0,1,0,0
גיל רחניאן,"ד""ר גיל רחניאן",0,0,0,0
גיל רפלוביץ,"ד""ר גיל רפלוביץ",0,0,0,0
גיל רצ’בסקי,"ד""ר גיל רצ’בסקי",0,0,0,0
גיל שכטר מאור,"ד""ר גיל שכטר מאור",1,0,0,0
גילה בוסקילה,גילה בוסקילה,0,0,0,0
גילה בקמן,גילה בקמן,1,1,0,0
גילה גלעדי,גילה גלעדי,1,0,0,0
גילה נלקנבאום איזמן,"ד""ר גילה נלקנבאום איזמן",0,0,0,0
גילי ברק אסלנוב,גילי ברק אסלנוב,0,0,0,0
גילי גולדבלט,גילי גולדבלט,1,1,1,0
גילי טסלר,"ד""ר גילי טסלר",0,1,0,1
גילי עופר ביאלר,גילי עופר ביאלר,0,1,0,0
גיליה מורב,גיליה מורב,0,1,0,0
גילעד שטנגר,גילעד שטנגר,1,0,1,0
גילת לבני,גילת לבני,0,0,0,1
גימה חיימוביץ',גימה חיימוביץ',1,0,0,0
גינדי אורלוב,גינדי אורלוב,1,0,0,0
גל אבישי,"ד""ר גל אבישי",0,0,0,0
גל ברקאי,"ד""ר גל ברקאי",1,1,1,1
גל גרוס,"ד""ר גל גרוס",0,0,0,0
גל וגנר קולסקו,גל וגנר קולסקו,1,0,0,0
גל וינריב,"ד""ר גל וינריב",0,0,0,0
גל ולנשטין,"ד""ר גל ולנשטין",0,0,0,0
גל מיכאלי-גלר,"ד""ר גל מיכאלי-גלר",0,0,0,0
גל נוימן,גל נוימן,0,1,0,0
גל נרוסלבסקי,גל נרוסלבסקי,0,1,0,0
גל קרן-פז,גל קרן-פז,0,1,0,0
גל רינות מזרחי,"ד""ר גל רינות מזרחי",0,0,0,0
גלאב עבאסי,גלאב עבאסי,0,0,0,1
גלב מוצ'לוב,"ד""ר גלב מוצ'לוב",0,1,0,1
גלי בוך,"ד""ר גלי בוך",0,0,0,0
גלי גרמי,"ד""ר גלי גרמי",0,0,0,0
גלי זיסמן,"ד""ר גלי זיסמן",0,0,0,0
גלי פרוינד,"ד""ר גלי פרוינד",0,0,0,0
גליה גריסרו,גליה גריסרו,0,1,0,0
גליה לוי,גליה לוי,0,0,0,0
גליה מאירי,גליה מאירי,0,1,0,0
גלינה אדזידרסקי,גלינה אדזידרסקי,0,0,0,1
גלינה אידלמן,גלינה אידלמן,1,0,0,0
גלינה גרוכר,גלינה גרוכר,1,0,0,0
גלינה טימוכין,גלינה טימוכין,1,0,0,0
גלינה טריף,גלינה טריף,1,0,0,0
גלינה מורדחילביץ,גלינה מורדחילביץ,1,0,0,0
גלינה קופרבלום,גלינה קופרבלום,0,0,0,0
גלינה קורץ,גלינה קורץ,1,0,0,0
גלינה רוסטמי,"ד""ר גלינה רוסטמי",0,0,0,0
גלינה שוולזון,גלינה שוולזון,1,0,1,1
גלינה שולוחוב,גלינה שולוחוב,0,1,1,0
גלית אביאור,גלית אביאור,0,0,0,0
גלית אבינועם דר," ד""ר גלית אבינועם דר",0,0,0,0
גלית ארטום,גלית ארטום,0,1,0,0
גלית ישראלי,"ד""ר גלית ישראלי",0,0,0,0
גלית לבנת-לבנון,"ד""ר גלית לבנת-לבנון",1,1,0,0
גלית שניר,גלית שניר,0,0,0,0
גלעד בר דיין,"ד""ר גלעד בר דיין",0,0,0,0
גלעד גסנר,גלעד גסנר,0,1,0,0
גלעד דביר,גלעד דביר,0,0,0,0
גלעד חמדני,"ד""ר גלעד חמדני",0,1,0,1
גלעד ליבשיץ,"ד""ר גלעד ליבשיץ",1,1,1,0
גלעד פילמר,"ד""ר גלעד פילמר",0,1,0,0
גלעד פיסקוס,"ד""ר גלעד פיסקוס",0,0,0,0
גלעד קרסנטי,גלעד קרסנטי,1,0,0,0
גלעד רוזנברג,גלעד רוזנברג,0,1,0,0
גלעד שטנגר,גלעד שטנגר,1,0,1,0
גנאדי יודקביץ,גנאדי יודקביץ,0,1,0,1
גנאדי פליימן,גנאדי פליימן,1,0,0,0
גנאדי שרף,גנאדי שרף,0,0,0,1
גנדי ביטמן,"ד""ר גנדי ביטמן",0,0,0,0
גנדי צ'אוסובסקי,גנדי צ'אוסובסקי,0,0,0,1
גנדי שנדלר,"ד""ר גנדי שנדלר",0,0,0,0
גניה אהרון חננאל,"ד""ר גניה אהרון חננאל",0,0,0,0
גנסיס קליניק -  גיא בק,"גנסיס קליניק - ד""ר גיא בק",0,0,0,0
גסאן עמל,"ד""ר גסאן עמל",0,0,0,0
גסוב סרור,גסוב סרור,1,0,0,0
גסן איממלייב,"ד""ר גסן איממלייב",0,0,0,0
גרגורי גולבצ'ינר,"ד""ר גרגורי גולבצ'ינר",1,1,0,0
גרגורי גולובצ’ינר,גרגורי גולובצ’ינר,0,0,0,0
גרגורי זלטין,גרגורי זלטין,1,0,0,0
גרגורי קרסיניץ,גרגורי קרסיניץ,1,0,0,0
גרגורי קרסניץ,גרגורי קרסניץ,0,1,0,0
גרגורי קרפ,גרגורי קרפ,0,0,0,0
גרה נשאת,"ד""ר גרה נשאת",0,0,0,0
גריגורי זלטין,גריגורי זלטין,0,0,0,1
גריגורי ספקטור,גריגורי ספקטור,1,0,1,0
גרינבאום,גרינבאום,0,1,0,0
גרמן קריידרמן,"ד""ר גרמן קריידרמן",0,0,0,0
גרשון אורלין-רשף,גרשון אורלין-רשף,0,1,0,0
גרשון פינק,גרשון פינק,0,1,0,0
ג׳קלין טרדכמן,"ד""ר ג׳קלין טרדכמן",0,0,0,0
ג׳רמי לגרנז׳,ג׳רמי לגרנז׳,0,0,0,0
דאוד גאטס,דאוד גאטס,0,1,0,0
דאוד גטאס,דאוד גטאס,0,0,1,1
דאוד שריף,דאוד שריף,0,1,1,0
דאיזדה איזק,"ד""ר דאיזדה איזק",1,1,1,0
דב אנגלשטיין,"ד""ר דב אנגלשטיין",1,0,0,1
דב בכר,"ד""ר דב בכר",1,1,1,1
דב הורניק,דב הורניק,1,0,0,0
דב וקסלר,דב וקסלר,1,0,0,0
דב כהן,דב כהן,0,0,0,1
דב לסק,דב לסק,0,1,0,0
דב שוורץ,"ד""ר דב שוורץ",0,0,0,0
דבורה ג'וטקביץ,דבורה ג'וטקביץ,0,0,0,1
דבורה ג'וטקוביץ,דבורה ג'וטקוביץ,1,1,1,0
דבורה גוטקוביץ,דבורה גוטקוביץ,0,1,1,0
דבורה כהן,"ד""ר דבורה כהן",0,0,0,0
דבורה פיטל-שפירו,דבורה פיטל-שפירו,1,0,0,0
דבורה ציילר אסתר,דבורה ציילר אסתר,0,0,0,0
דבורה שוורץ-ארד,"ד""ר דבורה שוורץ-ארד",0,0,0,0
דביר פרויליך,"ד""ר דביר פרויליך",0,0,0,0
דגנית סמואל,"ד""ר דגנית סמואל",1,0,0,1
דוד אברהם,דוד אברהם,0,0,1,0
דוד אברהם פיצ'חדזה,"ד""ר דוד אברהם פיצ'חדזה",0,0,0,0
דוד אדיבי,דוד אדיבי,0,0,0,0
דוד אולנובסקי,"ד""ר דוד אולנובסקי",1,0,0,0
דוד אוריון,"ד""ר דוד אוריון",0,0,0,0
דוד אזרחי,"ד""ר דוד אזרחי",0,1,0,0
דוד אטל,דוד אטל,0,0,0,1
דוד איסקוב,"ד""ר דוד איסקוב",1,1,1,1
דוד איצקוביץ,דוד איצקוביץ,0,1,0,0
דוד אנג'ל,דוד אנג'ל,0,0,0,0
דוד אנק,דוד אנק,0,1,0,0
דוד ארלינגר,דוד ארלינגר,0,0,0,0
דוד אשכנזי,דוד אשכנזי,0,1,0,0
דוד בן דוד,"ד""ר דוד בן דוד",0,0,0,0
דוד בן הרוש,"ד""ר דוד בן הרוש",0,0,0,0
דוד בן מאיר,"ד""ר דוד בן מאיר",0,0,0,0
דוד ברגמן,דוד ברגמן,1,0,0,0
דוד ברוש,דוד ברוש,1,0,0,0
דוד ברש,דוד ברש,0,1,1,0
דוד גבאי,דוד גבאי,1,0,0,0
דוד דויטש,דוד דויטש,1,1,0,0
דוד דלרחים,דוד דלרחים,0,1,0,0
דוד דנון,"ד""ר דוד דנון",0,1,1,0
דוד הרו,דוד הרו,0,0,0,0
דוד חביב,דוד חביב,0,1,1,1
דוד חגין,"ד""ר דוד חגין",0,0,0,0
דוד חובל,"ד""ר דוד חובל",0,0,0,0
דוד חן,"ד""ר דוד חן",1,1,0,0
דוד טורקיה,"ד""ר דוד טורקיה",0,0,0,0
דוד טל,"ד""ר דוד טל",0,0,0,0
דוד יהודה,דוד יהודה,0,0,0,1
דוד יעקובי,דוד יעקובי,0,0,0,0
דוד כהן,דוד כהן,1,1,0,0
דוד לביא,"ד""ר דוד לביא",0,0,0,0
דוד לבל,דוד לבל,0,1,0,0
דוד ליבוביץ,דוד ליבוביץ,1,0,1,1
דוד ליבל,דוד ליבל,0,1,0,0
דוד לניאדו,"ד""ר דוד לניאדו",0,0,0,0
דוד לשם,"ד""ר דוד לשם",0,0,0,0
דוד מורגנשטרן,"ד""ר דוד מורגנשטרן",0,1,1,0
דוד מילאטינר,"ד""ר דוד מילאטינר",0,1,0,0
דוד ממוט,דוד ממוט,1,0,0,0
דוד מרמור,"ד""ר דוד מרמור",0,0,0,0
דוד מרסר,דוד מרסר,1,0,1,1
דוד נבות,דוד נבות,1,1,1,1
דוד נטורה,דוד נטורה,1,0,0,0
דוד ניקומרוב,"ד""ר דוד ניקומרוב",0,0,0,0
דוד סוסיד,דוד סוסיד,1,0,0,0
דוד סמחוב,"ד""ר דוד סמחוב",0,0,0,0
דוד סריד,"ד""ר דוד סריד",0,0,0,0
דוד עוזרי,"ד""ר דוד עוזרי",0,0,0,0
דוד פז,דוד פז,1,1,1,0
דוד פיין,דוד פיין,0,1,1,0
דוד צדוק,דוד צדוק,0,0,1,0
דוד צמח,דוד צמח,0,1,0,0
דוד קריחלי,"ד""ר דוד קריחלי",1,0,0,0
דוד קרשאי,דוד קרשאי,0,0,0,0
דוד קרת,דוד קרת,0,1,0,0
דוד רוזן,"ד""ר דוד רוזן",0,0,0,0
דוד רותם,"ד""ר דוד רותם",1,0,0,0
דוד ריידרמן,דוד ריידרמן,1,0,0,0
דוד שוסיוב,דוד שוסיוב,0,1,1,0
דוד שלייפר,"ד""ר דוד שלייפר",1,0,0,0
דוד שלר,דוד שלר,0,1,1,0
דוד שניר,דוד שניר,1,0,0,0
דודו יגודייב,"ד""ר דודו יגודייב",0,0,0,0
דויד האוזר,"ד""ר דויד האוזר",1,0,1,1
דויד זיסקויט,דויד זיסקויט,0,1,0,0
דויד יפה,דויד יפה,0,1,0,0
דויד קרביץ,"ד""ר דויד קרביץ",0,0,0,0
דופלר עורקי צוואר מרפאת מרום,דופלר עורקי צוואר מרפאת מרום,0,1,1,1
דופש דיאא,"ד""ר דופש דיאא",0,0,0,0
דור גולומב,"ד""ר דור גולומב",0,0,0,0
דור עברון,"ד""ר דור עברון",0,0,0,0
דור פישר,דור פישר,0,0,0,0
דור פרץ,"ד""ר דור פרץ",0,0,0,0
דור קארס,דור קארס,0,0,0,0
דור שחוח,דור שחוח,0,0,0,0
דורה שכטר," ד""ר דורה שכטר",0,0,0,0
דורון אלק,דורון אלק,0,1,1,0
דורון זוננשטיין,דורון זוננשטיין,1,0,0,0
דורון כרמי,דורון כרמי,1,0,0,0
דורון מנחמי,דורון מנחמי,0,1,0,0
דורון סודרסקי,"ד""ר דורון סודרסקי",1,1,0,1
דורון פקליארו,דורון פקליארו,1,0,0,0
דורון קליין,"ד""ר דורון קליין",0,0,0,0
דורון קשת,"ד""ר דורון קשת",0,1,0,0
דורון רוזיצקי,"ד""ר דורון רוזיצקי",0,0,0,0
דורון רוזן,"ד""ר דורון רוזן",0,0,0,0
דורון שינדל,"ד""ר דורון שינדל",1,0,0,0
דורון שמעוני,דורון שמעוני,1,0,0,0
דורי הרר,דורי הרר,0,0,1,0
דורינה קלש - מרפאת dc,"ד""ר דורינה קלש - מרפאת DC",0,0,0,0
דורית אורפז,דורית אורפז,0,1,0,0
דורית ויסברג,דורית ויסברג,1,1,0,0
דורית פוסק,דורית פוסק,0,1,0,0
דורית פז,"ד""ר דורית פז",0,1,0,0
דורית פרחי,דורית פרחי,0,1,1,0
דורית רביד,"ד""ר דורית רביד",1,0,1,0
דיאב גאנם,דיאב גאנם,1,0,0,0
דיאב מוטלק,דיאב מוטלק,0,1,0,0
דיאנה זולוטניק,"ד""ר דיאנה זולוטניק",0,0,0,0
דיאנה טשר,דיאנה טשר,0,0,1,0
דיאנה שטיין,"ד""ר דיאנה שטיין",0,0,0,0
דיב דאוד,"ד""ר דיב דאוד",0,0,0,0
דיימיאן אורבן,"ד""ר דיימיאן אורבן",0,0,0,0
דימטרי פרס,דימטרי פרס,1,0,0,0
דימיטרי שייניס,"ד""ר דימיטרי שייניס",1,1,0,1
דין לוטרין,"ד""ר דין לוטרין",0,1,0,0
דין עבאבסה זהר אל,דין עבאבסה זהר אל,1,0,0,0
דין קרן,"ד""ר דין קרן",0,1,0,0
דינה גופשטיין חיות,"ד""ר דינה גופשטיין חיות",0,0,0,0
דינה לויטס,"ד""ר דינה לויטס",0,0,0,0
דינה מוסטובוי,דינה מוסטובוי,0,0,0,0
דינה צימרמן,דינה צימרמן,1,0,1,0
דינה רויטמן,דינה רויטמן,0,0,0,0
דינה רייזה כהן,דינה רייזה כהן,0,0,0,0
דליה אלכסנדר,דליה אלכסנדר,0,1,0,0
דליה בודנר,דליה בודנר,1,1,0,0
דליה גילת,דליה גילת,0,1,0,1
דליה דורי,דליה דורי,0,0,0,0
דליה חיים,"ד""ר דליה חיים",0,0,0,0
דליה לוי,דליה לוי,0,1,0,1
דליה קסנר,דליה קסנר,1,0,0,0
דלית דרימן,"ד""ר דלית דרימן",0,0,0,0
דלית פורת בן עמי,"ד""ר דלית פורת בן עמי",0,0,0,0
דמיטרי אוסטרובסקי,"ד""ר דמיטרי אוסטרובסקי",0,0,0,0
דמיטרי איזנשטיין,"ד""ר דמיטרי איזנשטיין",0,0,0,0
דמיטרי גחמן,דמיטרי גחמן,1,0,0,0
דמיטרי חונוביץ,"ד""ר דמיטרי חונוביץ",0,1,0,0
דמיטרי יעקובוביץ',"ד""ר דמיטרי יעקובוביץ'",1,0,1,0
דמיטרי לנצט,"ד""ר דמיטרי לנצט",0,0,0,0
דמיטרי קולטונוב,דמיטרי קולטונוב,0,1,1,0
דמיטרי קוליקוב,דמיטרי קוליקוב,1,0,1,0
דמיטרי שומלינסקי,דמיטרי שומלינסקי,0,1,1,0
דן אודנהיימר,"ד""ר דן אודנהיימר",0,0,0,0
דן אויירו,"ד""ר דן אויירו",0,1,0,0
דן אליאן,"ד""ר דן אליאן",0,0,0,0
דן אפשטיין,"ד""ר דן אפשטיין",0,0,0,0
דן גבור,"ד""ר דן גבור",0,0,0,0
דן גוטמן,דן גוטמן,0,0,0,0
דן גור,"ד""ר דן גור",0,0,0,0
דן גורדון,"ד""ר דן גורדון",0,0,0,0
דן גרינברג,"ד""ר דן גרינברג",0,1,0,0
דן דבי,דן דבי,1,0,1,0
דן הדס,"ד""ר דן הדס",0,0,0,0
דן הוט,דן הוט,0,0,0,0
דן הרלב,דן הרלב,0,0,0,0
דן יניב,"ד""ר דן יניב",0,1,0,0
דן ירדני,"ד""ר דן ירדני",0,0,0,0
דן לוין,"ד""ר דן לוין",0,0,0,0
דן ליבובסקי,"ד""ר דן ליבובסקי",0,0,0,0
דן מילט,דן מילט,0,1,1,0
דן מימון,דן מימון,0,0,0,0
דן נבון,דן נבון,1,0,0,0
דן ניר,דן ניר,0,1,0,1
דן סלודובניק,דן סלודובניק,0,1,1,0
דן סרנגה,דן סרנגה,1,0,0,0
דן פטרוניוס,"ד""ר דן פטרוניוס",0,0,0,0
דן פרט,"ד""ר דן פרט",0,0,0,0
דן צ'יובוטרו,"ד""ר דן צ'יובוטרו",0,0,0,0
דן צין,"ד""ר דן צין",0,1,0,0
דן שניידר,דן שניידר,0,0,0,0
דן תירוש,"ד""ר דן תירוש",0,0,0,0
דנה אמיר-קליין,"ד""ר דנה אמיר-קליין",0,0,0,0
דנה בן-עמי שור,"ד""ר דנה בן-עמי שור",0,0,0,0
דנה זייגר-אגינסקי,דנה זייגר-אגינסקי,0,1,0,0
דנה כגנסקי,"ד""ר דנה כגנסקי",0,0,0,0
דנה כהן שמחי,"ד""ר דנה כהן שמחי",0,0,0,0
דנה ליבנה,"ד""ר דנה ליבנה",0,0,0,0
דנה קריסטל,דנה קריסטל,0,1,0,0
דנה שלמון,"ד""ר דנה שלמון",0,0,0,0
דנטה אנטונלי,דנטה אנטונלי,1,0,0,0
דנטל יוניק dental unique,דנטל יוניק Dental Unique,0,0,0,0
דנטל מדיקל סנטר |  דורון בר חן,"דנטל מדיקל סנטר | ד""ר דורון בר חן",0,0,0,0
דני דניאלי,דני דניאלי,0,1,0,0
דני זקש,דני זקש,0,0,0,0
